Container,SzTpHt,,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG
ZCSU8641398,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX765206-BT1,ZIMUVAN934440,EXPRT,GIAN / 44,5446,3899.99,,,,,,,,,N,
ZCSU2744721,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751309-AB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3800,,,,,,,,,N,
ZCSU8536582,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX751309-CT1,ZIMUMTL902809,EXPRT,GIAN / 44,19885.49,3084,,,,,,,,,N,
ZIMU2867155,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX743993-BB1,ZIMUTRT0095242,EXPRT,GIAN / 44,23616,2350,,,,,,,,,N,
TCNU1056437,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-CP524349-CB1,ZIMUVAN934430,EXPRT,GIAN / 44,6433.75,4000,,,,,,,,,N,
TCNU4343472,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX721570-AB1,ZIMUVAN934385,EXPRT,GIAN / 44,5518,4000,,,,,,,,,N,
ZCSU2602270,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751309-CB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3720,,,,,,,,,N,
ZCSU2692510,40GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX620108-CB1,ZIMUTRT0095869,EXPRT,GIAN / 44,29378,3719,,,,,,,,,N,
TLLU4309123,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-CP524349-BB1,ZIMUVAN934405,EXPRT,GIAN / 44,5370.08,3700,,,,,,,,,N,
TLLU4592603,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX721570-BB1,ZIMUVAN934405,EXPRT,GIAN / 44,4483.76,4000,,,,,,,,,N,
DRYU9230917,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX466069-AT1,ZIMUTRT0095553,EXPRT,GIAN / 44,12190,4000,,,,,,,,,N,
FSCU8162938,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-DTTX659375-AB1,ZIMUORF0832580,EXPRT,GIAN / 44,30138.95,4000,,,,,,,,,N,
TCNU2502575,40GP96,,ZIM,RAILCAR,,FCL,DCB,R-SMW210605-AB1,ZIMUORF0832585,EXPRT,GIAN / 44,30008.76,4000,,,,,,,,,N,
BMOU2258819,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX781164-CB2,SSPHTRT0096045,EXPRT,GIAN / 44,16246,2222,,,,,,,,,N,
BSIU2405221,20GP86,,ZIM,RAILCAR,,FCL,PKG,R-DTTX781164-EB1,SSPHTRT0095920,EXPRT,GIAN / 44,22585,2350,,,,,,,,,N,
FCIU8920427,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX62754-AB2,ZIMUORF0831106,EXPRT,GIAN / 44,26056,3830,,,,,,,,,N,
FCIU4123894,20GP86,,ZIM,RAILCAR,,FCL,TAO,R-DTTX742657-EB2,ZIMUTRT0096072,EXPRT,GIAN / 44,3002.33,2181.78,,,,,,,,,N,
BSIU3017494,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX759396-DB2,ZIMUMTL0074222,EXPRT,GIAN / 44,11398.78,2267.96,,,,,,,,,N,
BSIU9768384,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX765206-CT1,ZIMUVAN934458,EXPRT,GIAN / 44,5527,4000,,,,,,,,,N,
CAIU6073578,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-DTTX59556-AB2,ZIMUMTL0074380,EXPRT,GIAN / 44,22427,2267,,,,,,,,,N,
CAIU3505298,20GP86,,ZIM,RAILCAR,,FCL,PUS,R-CN677060-BB2,ZIMUMTL0074222,EXPRT,GIAN / 44,22387,2350,,,,,,,,,N,
CAIU4429124,40GP96,,ZIM,RAILCAR,,FCL,PUS,R-DTTX751105-CB1,ZIMUTRT0096038,EXPRT,GIAN / 44,10731,3642.35,,,,,,,,,N,
TCLU5147672,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX62754-EB2,ZIMUORF0831106,EXPRT,GIAN / 44,26066,4000,,,,,,,,,N,
ZIMU2770000,20GP86,,ZIM,RAILCAR,,FCL,NGB,R-DTTX655963-AB1,SSPHORF0834407,EXPRT,GIAN / 44,3129,2350,,,,,,,,,N,
CXDU2379506,20GP86,,ZIM,RAILCAR,,FCL,SHA,R-DTTX747912-AB1,ZIMUMTL0074391,EXPRT,GIAN / 44,20571.77,2180,,,,,,,,,N,
TCNU4637780,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX62754-BB2,ZIMUORF0833461,EXPRT,GIAN / 44,26125,3899,,,,,,,,,N,
ZCSU6534277,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-BNSF254642-BB2,ZIMUORF0833461,EXPRT,GIAN / 44,25925,4000,,,,,,,,,N,
ZCSU8260745,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX62754-CB2,ZIMUORF0833461,EXPRT,GIAN / 44,26116,4000,,,,,,,,,N,
ZCSU7001734,40GP96,,ZIM,YARD,,FCL,SHA,Y-DLT-D052D4,ZIMUVAN0075074,EXPRT,GIAN / 44,29331,4000,,11-17-2018 6:03:48 PM,,,"WOODPULP, BALED-UNITIZED",,,,Y,
ZCSU8514304,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-BNSF254642-AB2,ZIMUORF0833461,EXPRT,GIAN / 44,26145,4000,,,,,,,,,N,
BSIU9543310,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-BNSF255408-AB1,ZIMUVAN934390,EXPRT,GIAN / 44,5105.18,4000,,,,,,,,,N,
TLLU4441736,40GP96,,ZIM,RAILCAR,,FCL,NGB,R-DTTX62754-DB2,ZIMUORF0833461,EXPRT,GIAN / 44,25925,4000,,,,,,,,,N,
TLLU4856265,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX747958-AT1,ZIMUVAN934468,EXPRT,GIAN / 44,6760,4000,,,,,,,,,N,
TCNU9228430,40GP96,,ZIM,RAILCAR,,FCL,SHA,R-DTTX788464-AT1,ZIMUVAN934466,EXPRT,GIAN / 44,6731,3880,,,,,,,,,N,
AXIU1605435,40GP96,,ZIM,RAILCAR,,FCL,PKG,R-DTTX785251-CT1,ZIMUORF0831178,EXPRT,GIAN / 44,22998,4000,,,,,"BONE MEAL, UNITIZED",,,,N,
