Container,SzTpHt,A,Line,Location,Destination,Freight Kind,POD,Position,Booking,Category,Vessel / Voyage,Gross WT,Tare WT,,In Time,A,Holds,Commodity,Haz Details,Temp Req,Units,On Dock,OOG,,,,,,,,,,,,,,,,,,,,,,,,
TCNU5407885,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660316,ZIMUORF0962701,EXPRT,ANAM / 09,29190.33,3840,,3-4-2020 9:00:58 AM,,,CUT GREENS,,,,N,,,,,SHA,CNSNH,,,,,,,,,,,,,,,,,,,
JXLU5106145,40RE96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-380384,ZIMUMTL0083660,EXPRT,ANAM / 09,30567.5,4680,,2-26-2020 10:47:03 AM,,,FAK OR CARGO NOS,,-18,C,N,,,,,PUS,KRPUS,,,,,,,,,,,,,,,,,,,
ZCSU7178144,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-301210,ZIMUVAN0081607,EXPRT,ANAM / 09,26718,3700,,3-4-2020 2:12:04 PM,,,LUMBER,,,,N,,,,,NGB,CNNGB,,,ZCSU717814,,,,,,,,,,,,,,,,
ZCSU7186854,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101088,ZIMUVAN0081585,EXPRT,ANAM / 09,25095,3700,,3-4-2020 1:10:22 PM,,,LUMBER,,,,N,,,,,PKG,MYPKL,,,,,,,,,,,,,,,,,,,
ZCSU8838582,40GP96,,ZIM,VESSEL,,FCL,YOK,V-ANAM09-460114,ZIMUVAN0081375A,EXPRT,ANAM / 09,25052,4000,,2-20-2020 3:48:02 PM,,,,,,,N,,,,,DCB,CNSAD,,,ZCSU883858,,,,,,,,,,,,,,,,
FSCU8155760,40GP96,,ZIM,VESSEL,,FCL,YTN,V-ANAM09-220810,ZIMUVAN0081645,EXPRT,ANAM / 09,27836,3830,,3-4-2020 8:45:55 AM,,,"WOODPULP, BALED-UNITIZED",,,,N,,,,,IST,TRKPX,,,FSCU815576,,,,,,,,,,,,,,,,
ZCSU7133540,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-101188,ZIMUVAN0081608,EXPRT,ANAM / 09,25279,3770,,3-4-2020 8:59:03 AM,,,LUMBER,,,,N,,,,,ASH,ILASH,,,,,,,,,,,,,,,,,,,
ZCSU7112316,40GP96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660988,ZIMUORF0962701,EXPRT,ANAM / 09,29120,3730,,3-4-2020 9:50:10 AM,,,CUT GREENS,,,,N,,,,,ODS,UAOSS,,,ZCSU711231,,,,,,,,,,,,,,,,
ZCSU8652406,40GP96,,ZIM,VESSEL,,FCL,PUS,V-ANAM09-100986,ZIMUVAN0081496,EXPRT,ANAM / 09,26596,3900,,3-4-2020 9:50:37 AM,,,LUMBER,,,,N,,,,,TAO,CNQIN,,,,,,,,,,,,,,,,,,,
SZLU9065026,40RE96,,ZIM,VESSEL,,FCL,KHH,V-ANAM09-660284,ZIMUMTL0084087,EXPRT,ANAM / 09,31177,4780,,3-4-2020 10:47:49 AM,,,"PORK, FROZEN",,-18,C,N,,,,,HFA,ILHFA,,,,,,,,,,,,,,,,,,,
